tenure,MonthlyCharges,SupportTickets,Contract,InternetService,PaperlessBilling,Churn
37,40.85,2,One year,DSL,Yes,1
17,113.06,2,Month-to-month,DSL,Yes,1
1,31.64,2,One year,DSL,No,0
51,101.74,2,Month-to-month,Fiber,Yes,0
45,58.06,0,Month-to-month,DSL,No,0
4,107.8,1,One year,DSL,No,0
62,106.81,2,Month-to-month,DSL,Yes,1
65,100.59,1,Month-to-month,Fiber,Yes,0
32,99.0,1,Month-to-month,Fiber,Yes,0
34,50.47,1,One year,DSL,Yes,0
39,28.09,1,One year,Fiber,Yes,0
26,60.3,0,Month-to-month,Fiber,Yes,1
34,37.35,0,One year,Fiber,Yes,0
54,89.5,0,Month-to-month,DSL,Yes,1
3,54.61,1,Month-to-month,Fiber,Yes,1
50,117.56,3,One year,DSL,No,0
12,84.1,1,One year,Fiber,Yes,0
65,102.25,1,Two year,DSL,No,1
54,33.25,3,Month-to-month,DSL,Yes,1
5,106.2,1,One year,DSL,Yes,0
57,112.28,0,One year,Fiber,Yes,1
17,68.71,1,Two year,DSL,Yes,0
47,80.63,0,Month-to-month,Fiber,Yes,1
23,96.48,0,One year,DSL,Yes,1
14,37.48,4,Month-to-month,Fiber,No,1
66,70.26,1,Month-to-month,Fiber,Yes,0
51,59.87,0,Month-to-month,Fiber,Yes,0
38,34.64,2,Month-to-month,Fiber,No,0
64,56.75,0,Month-to-month,Fiber,No,1
38,26.82,0,Two year,DSL,Yes,1
50,22.58,0,Month-to-month,Fiber,Yes,0
30,33.52,2,One year,DSL,No,0
51,116.31,1,Month-to-month,Fiber,Yes,0
63,74.95,1,Month-to-month,Fiber,Yes,0
52,116.58,3,Month-to-month,DSL,Yes,1
38,63.25,1,Month-to-month,DSL,No,0
30,51.18,0,Month-to-month,Fiber,Yes,1
51,70.61,0,Month-to-month,Fiber,No,1
5,63.95,1,Month-to-month,None,Yes,1
29,30.57,2,Month-to-month,Fiber,No,0
4,84.08,1,Month-to-month,Fiber,Yes,1
10,41.6,0,Month-to-month,None,Yes,0
56,81.96,1,Month-to-month,DSL,No,0
17,85.02,1,Two year,DSL,Yes,0
17,35.2,0,Two year,Fiber,Yes,0
69,26.13,1,One year,Fiber,Yes,0
34,98.08,0,Month-to-month,Fiber,Yes,1
6,65.98,1,One year,Fiber,Yes,0
53,25.82,1,One year,DSL,Yes,0
66,119.49,0,One year,Fiber,Yes,0
43,25.78,2,Month-to-month,DSL,Yes,0
23,89.5,1,One year,DSL,Yes,0
55,118.37,1,One year,Fiber,Yes,0
16,43.92,3,Month-to-month,DSL,No,1
8,34.22,0,One year,Fiber,Yes,0
4,32.14,0,Month-to-month,Fiber,Yes,0
4,50.33,3,Month-to-month,Fiber,No,1
56,30.1,1,Month-to-month,DSL,Yes,0
25,89.22,3,One year,DSL,No,0
67,26.23,2,Month-to-month,DSL,No,0
67,70.94,4,Month-to-month,None,No,0
27,119.67,0,Month-to-month,Fiber,Yes,0
32,101.4,1,Month-to-month,Fiber,No,1
50,81.52,4,Month-to-month,DSL,No,0
61,50.63,1,One year,None,Yes,0
51,82.39,1,One year,DSL,Yes,0
19,72.7,1,Month-to-month,DSL,Yes,0
21,62.61,1,Month-to-month,Fiber,Yes,0
5,33.07,2,Month-to-month,None,Yes,0
42,108.66,0,Two year,DSL,Yes,0
61,64.98,0,Month-to-month,DSL,Yes,0
22,39.46,1,Month-to-month,None,Yes,0
21,56.78,2,Month-to-month,DSL,Yes,0
70,61.41,0,One year,DSL,Yes,0
1,102.75,2,Two year,Fiber,No,0
5,93.36,4,One year,Fiber,Yes,1
12,96.93,0,One year,Fiber,Yes,0
46,21.1,0,Month-to-month,None,Yes,0
34,61.62,0,Month-to-month,Fiber,Yes,1
49,68.13,1,Month-to-month,DSL,No,0
45,21.92,3,Month-to-month,None,No,1
27,45.98,1,Month-to-month,Fiber,Yes,0
26,96.03,0,Month-to-month,DSL,No,0
47,33.71,0,Month-to-month,Fiber,Yes,0
56,73.53,0,Two year,DSL,Yes,1
63,41.52,1,One year,DSL,Yes,0
48,21.21,1,One year,DSL,No,0
61,44.12,2,One year,Fiber,Yes,1
26,117.59,1,Month-to-month,Fiber,Yes,0
36,100.15,1,One year,Fiber,No,0
1,115.96,0,Month-to-month,None,Yes,1
8,68.79,0,One year,DSL,Yes,0
52,30.97,2,Month-to-month,DSL,No,0
47,74.8,4,Two year,DSL,Yes,0
56,65.44,2,Month-to-month,DSL,Yes,0
14,104.44,1,Month-to-month,DSL,Yes,1
28,29.81,2,Two year,Fiber,Yes,0
2,68.82,1,Month-to-month,None,Yes,0
26,35.0,0,One year,None,Yes,0
14,52.47,1,One year,DSL,Yes,0
59,93.74,0,One year,Fiber,Yes,1
56,67.6,2,Two year,DSL,No,0
7,57.59,2,Two year,DSL,No,1
3,59.45,0,Month-to-month,Fiber,Yes,0
23,65.94,1,One year,Fiber,Yes,1
18,98.5,3,One year,DSL,No,1
38,109.21,2,One year,Fiber,Yes,1
15,115.53,0,Month-to-month,DSL,Yes,1
64,98.69,0,One year,Fiber,No,1
28,51.54,2,Two year,Fiber,No,0
39,88.81,1,Two year,None,No,0
57,63.76,1,Month-to-month,DSL,No,1
17,45.47,3,Month-to-month,DSL,Yes,1
44,104.09,1,Month-to-month,Fiber,Yes,1
25,23.84,1,One year,Fiber,Yes,1
17,110.18,0,One year,DSL,Yes,0
13,66.15,1,Month-to-month,Fiber,Yes,0
25,83.72,1,Month-to-month,Fiber,No,0
68,85.94,2,Month-to-month,None,No,0
10,109.51,1,Month-to-month,Fiber,Yes,1
67,83.67,1,Two year,Fiber,No,0
18,81.39,0,One year,Fiber,No,0
34,26.67,3,Month-to-month,Fiber,Yes,0
8,71.84,1,Month-to-month,DSL,Yes,1
40,35.02,0,Month-to-month,DSL,Yes,0
42,93.74,3,Two year,DSL,Yes,0
41,71.22,0,Month-to-month,Fiber,Yes,0
6,88.02,1,Month-to-month,DSL,Yes,1
52,24.17,3,Month-to-month,None,Yes,0
26,28.48,1,One year,DSL,Yes,0
64,91.63,2,One year,DSL,No,0
59,27.21,1,One year,Fiber,Yes,0
56,27.13,0,Month-to-month,DSL,No,0
59,21.21,0,Month-to-month,DSL,Yes,0
70,115.65,1,Month-to-month,DSL,Yes,0
33,93.75,2,One year,Fiber,No,0
53,55.33,1,Month-to-month,Fiber,Yes,0
22,49.65,0,Month-to-month,Fiber,Yes,1
21,54.97,1,Two year,Fiber,No,0
70,97.47,1,Two year,Fiber,Yes,0
70,86.14,2,Month-to-month,DSL,Yes,0
4,38.52,3,Month-to-month,DSL,Yes,1
62,37.41,5,Month-to-month,Fiber,No,0
62,29.84,2,One year,DSL,Yes,0
24,86.03,2,One year,DSL,Yes,1
55,96.44,0,Month-to-month,Fiber,Yes,1
9,46.5,3,Month-to-month,Fiber,Yes,1
3,22.09,2,One year,DSL,No,0
31,28.22,2,Two year,DSL,Yes,0
40,116.79,1,Month-to-month,None,Yes,0
36,49.54,1,Month-to-month,Fiber,Yes,0
24,96.92,0,Month-to-month,Fiber,No,1
6,82.47,0,Month-to-month,Fiber,Yes,1
66,58.19,3,Two year,Fiber,No,0
4,40.57,1,One year,None,No,0
6,32.14,3,One year,None,Yes,1
51,81.5,0,Month-to-month,DSL,Yes,0
62,97.46,1,One year,Fiber,Yes,0
57,84.39,2,Month-to-month,DSL,No,1
66,73.03,0,Month-to-month,DSL,Yes,0
8,24.2,1,Month-to-month,Fiber,Yes,1
26,116.85,1,Month-to-month,Fiber,No,0
51,99.87,1,One year,None,Yes,0
45,49.28,1,Month-to-month,DSL,Yes,1
44,118.0,0,Month-to-month,Fiber,Yes,0
5,80.19,2,Month-to-month,None,Yes,1
70,78.24,0,Month-to-month,None,No,0
26,94.81,1,Month-to-month,DSL,Yes,1
68,101.18,0,Month-to-month,DSL,Yes,1
19,85.65,2,One year,Fiber,No,1
20,32.81,0,Month-to-month,DSL,Yes,0
12,53.83,0,Month-to-month,None,No,0
47,112.81,2,Month-to-month,None,No,1
1,42.46,0,One year,DSL,Yes,0
14,57.22,3,Month-to-month,DSL,Yes,0
64,63.21,0,Month-to-month,DSL,No,0
38,63.94,1,Month-to-month,None,Yes,0
37,81.29,0,Month-to-month,DSL,Yes,0
11,114.31,1,Month-to-month,Fiber,No,1
3,44.07,1,One year,Fiber,Yes,0
33,32.15,0,One year,Fiber,No,0
6,39.75,1,Month-to-month,DSL,Yes,1
50,108.69,2,One year,DSL,Yes,1
10,84.58,1,One year,None,Yes,0
5,48.59,2,Month-to-month,None,No,1
23,101.59,0,Month-to-month,Fiber,Yes,1
10,106.14,2,Month-to-month,DSL,No,0
44,104.65,0,Month-to-month,DSL,Yes,1
2,111.89,0,One year,Fiber,Yes,1
13,45.22,2,Two year,DSL,Yes,0
40,95.5,1,Two year,None,Yes,0
2,66.05,1,One year,Fiber,Yes,1
65,104.2,0,Month-to-month,DSL,Yes,1
63,92.85,1,Month-to-month,None,Yes,0
17,97.64,1,One year,None,No,0
9,85.62,1,Month-to-month,DSL,Yes,1
15,37.74,1,One year,Fiber,No,0
24,74.5,3,One year,DSL,Yes,1
38,118.47,0,One year,DSL,Yes,0
35,113.74,0,One year,DSL,Yes,0
49,24.32,1,Month-to-month,Fiber,Yes,1
69,36.48,1,One year,None,Yes,0
62,33.17,0,Two year,Fiber,Yes,0
60,92.6,1,Month-to-month,DSL,Yes,0
50,101.78,0,One year,Fiber,No,0
9,41.35,1,Month-to-month,DSL,Yes,1
34,70.59,2,Two year,Fiber,No,0
35,104.07,0,Month-to-month,Fiber,Yes,1
1,93.28,1,Month-to-month,DSL,Yes,1
40,74.22,4,Month-to-month,DSL,Yes,1
64,79.03,0,One year,Fiber,Yes,1
22,70.84,1,Month-to-month,DSL,Yes,1
60,49.75,1,Month-to-month,Fiber,Yes,1
64,76.5,0,Month-to-month,DSL,Yes,0
11,88.89,1,Two year,DSL,Yes,0
14,107.33,4,Month-to-month,Fiber,Yes,1
60,83.63,1,Month-to-month,None,Yes,0
30,96.11,1,One year,None,Yes,0
35,36.01,1,Month-to-month,DSL,No,0
37,66.16,1,Two year,DSL,No,0
5,20.93,1,Month-to-month,DSL,Yes,1
26,44.67,3,One year,Fiber,No,1
62,92.65,1,Month-to-month,Fiber,No,1
4,119.18,1,Month-to-month,None,Yes,1
42,29.92,2,One year,None,Yes,0
18,60.15,0,Month-to-month,DSL,No,0
40,100.01,1,One year,Fiber,Yes,0
39,40.4,1,Month-to-month,Fiber,No,0
14,75.51,0,Month-to-month,Fiber,Yes,0
32,93.31,3,Month-to-month,DSL,Yes,0
51,81.6,2,Two year,DSL,Yes,0
38,38.8,2,Month-to-month,Fiber,Yes,1
23,55.54,0,Month-to-month,DSL,No,1
63,98.38,1,Month-to-month,DSL,No,1
15,75.42,1,Month-to-month,DSL,Yes,0
25,20.52,2,Month-to-month,Fiber,Yes,0
17,96.1,0,Two year,DSL,No,0
66,23.53,0,Month-to-month,DSL,Yes,1
53,94.57,2,Two year,DSL,Yes,0
51,40.25,1,Month-to-month,Fiber,Yes,0
39,115.81,2,One year,Fiber,No,1
51,56.79,1,Two year,Fiber,No,0
70,52.69,0,Month-to-month,Fiber,Yes,1
6,34.89,0,Two year,None,Yes,0
67,50.56,0,Month-to-month,DSL,No,0
7,107.67,1,Two year,DSL,Yes,1
51,119.63,1,One year,DSL,Yes,0
42,56.83,0,Month-to-month,DSL,Yes,1
64,64.86,2,Month-to-month,DSL,No,0
15,92.21,2,Month-to-month,None,Yes,1
29,108.62,1,Month-to-month,Fiber,Yes,0
33,79.3,0,Month-to-month,Fiber,Yes,0
27,59.15,1,Month-to-month,None,Yes,1
36,61.26,2,Month-to-month,DSL,Yes,0
29,89.56,1,One year,DSL,Yes,0
38,20.32,3,Month-to-month,Fiber,Yes,1
57,81.96,3,Month-to-month,Fiber,Yes,1
27,55.55,0,One year,DSL,Yes,0
55,99.42,0,Month-to-month,Fiber,Yes,0
33,29.3,0,Month-to-month,Fiber,No,1
68,78.82,2,Month-to-month,Fiber,No,1
66,68.1,0,Two year,Fiber,Yes,0
10,84.23,1,One year,DSL,No,0
5,26.49,2,Month-to-month,DSL,Yes,0
38,78.0,0,One year,Fiber,No,0
13,76.15,0,Month-to-month,DSL,Yes,0
31,76.07,3,One year,None,Yes,0
47,80.35,1,One year,Fiber,Yes,1
52,87.65,1,One year,DSL,Yes,0
56,100.5,0,Month-to-month,Fiber,No,0
15,46.98,1,Month-to-month,Fiber,Yes,1
29,102.5,0,Month-to-month,DSL,Yes,1
8,69.83,0,Two year,Fiber,Yes,0
5,27.71,3,Month-to-month,Fiber,No,1
29,25.86,1,One year,Fiber,Yes,0
47,53.42,1,Two year,DSL,Yes,0
68,98.49,1,Month-to-month,Fiber,No,1
45,90.77,0,One year,Fiber,Yes,0
2,98.86,0,One year,DSL,Yes,0
27,71.73,1,Two year,DSL,No,0
36,64.02,0,Two year,Fiber,Yes,0
36,34.75,2,One year,DSL,Yes,0
26,52.82,4,Month-to-month,Fiber,Yes,1
43,63.4,1,One year,Fiber,No,0
27,28.86,2,Month-to-month,Fiber,Yes,0
69,42.06,0,One year,DSL,No,0
20,79.82,1,Two year,Fiber,No,1
11,93.57,2,Month-to-month,DSL,Yes,0
38,119.83,3,One year,Fiber,No,0
6,113.31,1,Month-to-month,Fiber,Yes,1
23,84.26,0,Month-to-month,Fiber,Yes,0
47,62.12,0,Month-to-month,None,No,0
46,83.62,1,One year,Fiber,No,0
12,98.57,1,Two year,DSL,Yes,0
13,31.83,0,Two year,None,Yes,0
62,60.99,1,Month-to-month,Fiber,Yes,1
60,103.98,1,Two year,DSL,Yes,0
43,58.38,1,One year,DSL,Yes,0
68,77.19,0,Month-to-month,Fiber,Yes,0
5,78.78,0,Month-to-month,DSL,Yes,0
37,38.45,2,Month-to-month,Fiber,Yes,0
31,56.22,2,Two year,Fiber,Yes,0
9,53.45,2,One year,DSL,No,0
51,22.62,1,One year,Fiber,No,0
29,22.42,4,Month-to-month,DSL,Yes,1
40,103.17,1,One year,Fiber,Yes,0
41,47.31,0,Month-to-month,Fiber,Yes,1
11,71.81,2,Month-to-month,Fiber,Yes,1
23,49.87,1,One year,Fiber,Yes,0
1,114.07,1,Month-to-month,Fiber,No,1
46,45.93,2,One year,Fiber,Yes,0
21,62.97,1,Month-to-month,DSL,Yes,1
36,107.27,2,One year,DSL,Yes,1
54,104.19,1,Month-to-month,Fiber,Yes,1
57,38.61,0,Month-to-month,None,Yes,0
1,100.26,2,Month-to-month,Fiber,No,1
63,65.82,0,Month-to-month,Fiber,Yes,0
54,68.3,1,Two year,DSL,Yes,0
55,33.35,0,Month-to-month,Fiber,Yes,0
40,28.06,2,One year,Fiber,No,0
15,92.79,1,Two year,DSL,Yes,0
21,69.65,0,Month-to-month,DSL,Yes,0
47,63.69,2,Month-to-month,None,No,0
53,92.95,1,One year,DSL,Yes,0
9,96.55,1,Two year,DSL,Yes,1
52,35.89,4,Two year,DSL,Yes,0
57,81.02,1,Month-to-month,None,Yes,1
26,33.54,1,One year,Fiber,Yes,1
41,95.14,1,Month-to-month,Fiber,Yes,1
35,85.7,1,Two year,None,Yes,0
63,115.66,1,Two year,DSL,Yes,0
25,26.9,0,Month-to-month,Fiber,Yes,1
38,25.71,2,Month-to-month,DSL,Yes,0
2,48.22,1,Month-to-month,DSL,Yes,1
7,46.17,2,Month-to-month,Fiber,No,1
34,44.7,2,One year,Fiber,Yes,0
17,110.63,0,Month-to-month,DSL,Yes,1
43,44.95,0,Month-to-month,DSL,Yes,0
59,47.19,0,Month-to-month,Fiber,Yes,1
51,95.94,1,Two year,DSL,Yes,0
54,64.97,0,One year,DSL,Yes,0
24,97.67,4,Month-to-month,DSL,Yes,1
25,26.54,1,Month-to-month,DSL,Yes,1
71,68.76,2,Two year,Fiber,No,0
52,23.36,1,One year,DSL,Yes,0
70,26.27,2,Month-to-month,DSL,Yes,1
33,110.64,1,Month-to-month,Fiber,Yes,1
49,33.92,1,Month-to-month,Fiber,Yes,1
29,73.24,3,Month-to-month,DSL,Yes,0
63,61.11,2,Month-to-month,DSL,Yes,1
22,54.73,1,Two year,DSL,Yes,0
26,109.98,1,Month-to-month,Fiber,No,1
28,22.18,0,One year,Fiber,No,0
49,86.38,1,Month-to-month,Fiber,Yes,1
71,116.34,1,One year,None,Yes,0
49,76.02,2,One year,Fiber,No,0
20,113.68,0,Month-to-month,Fiber,Yes,0
63,25.23,1,Month-to-month,Fiber,Yes,0
61,61.88,3,One year,DSL,Yes,0
49,46.02,3,Month-to-month,None,Yes,0
71,93.08,2,Month-to-month,DSL,Yes,1
1,118.13,3,Month-to-month,DSL,Yes,1
13,45.65,2,Two year,Fiber,Yes,0
51,85.42,0,Month-to-month,DSL,Yes,1
56,39.81,2,One year,Fiber,No,0
62,76.53,0,Month-to-month,Fiber,Yes,1
32,66.39,1,One year,Fiber,Yes,0
30,117.2,1,Month-to-month,Fiber,Yes,1
29,80.85,0,Two year,DSL,No,0
49,54.95,0,Month-to-month,Fiber,No,1
45,31.41,1,One year,Fiber,Yes,1
30,35.12,1,One year,Fiber,Yes,0
16,42.53,1,Month-to-month,Fiber,No,1
40,45.1,1,Month-to-month,DSL,Yes,1
19,105.06,1,Month-to-month,Fiber,Yes,1
18,76.12,0,Month-to-month,DSL,Yes,0
1,72.34,2,Two year,None,Yes,0
47,31.48,2,Month-to-month,DSL,Yes,1
66,106.01,0,Month-to-month,Fiber,Yes,0
38,92.28,0,One year,DSL,Yes,0
51,26.77,0,Month-to-month,DSL,No,1
63,90.78,2,Month-to-month,Fiber,No,1
4,74.35,2,Month-to-month,Fiber,No,1
1,28.17,0,Two year,Fiber,No,0
8,65.83,0,Two year,None,Yes,1
29,68.47,0,Two year,Fiber,Yes,0
55,36.58,0,Month-to-month,Fiber,Yes,0
3,114.57,1,One year,DSL,No,1
32,105.0,2,Month-to-month,Fiber,Yes,1
10,86.9,1,Month-to-month,DSL,No,0
34,66.23,1,Month-to-month,Fiber,Yes,0
55,61.18,0,Month-to-month,None,No,1
32,85.1,0,Month-to-month,None,Yes,0
50,74.54,2,Month-to-month,Fiber,Yes,1
7,26.23,1,Month-to-month,Fiber,No,0
8,71.25,0,Month-to-month,Fiber,Yes,1
65,100.64,1,One year,DSL,No,0
57,65.92,0,Month-to-month,Fiber,Yes,0
67,25.2,3,One year,DSL,Yes,0
59,98.63,1,Month-to-month,Fiber,Yes,0
54,40.14,0,One year,DSL,Yes,0
67,45.86,0,Month-to-month,DSL,Yes,0
51,36.47,2,Month-to-month,DSL,Yes,0
8,53.02,2,Month-to-month,Fiber,Yes,0
34,95.68,0,One year,Fiber,Yes,0
35,71.94,1,One year,DSL,Yes,0
32,40.49,1,Month-to-month,Fiber,Yes,0
46,107.78,2,Month-to-month,DSL,No,0
16,107.96,1,Two year,Fiber,Yes,0
68,107.06,1,One year,Fiber,Yes,0
37,43.88,1,Month-to-month,Fiber,Yes,1
54,65.12,2,Month-to-month,Fiber,Yes,1
14,118.5,3,Month-to-month,DSL,Yes,1
55,97.2,1,One year,Fiber,No,0
48,22.72,1,Month-to-month,Fiber,No,0
7,26.52,1,Two year,Fiber,Yes,0
7,66.39,1,Month-to-month,Fiber,Yes,0
33,110.92,1,Month-to-month,DSL,No,0
23,73.87,0,Month-to-month,Fiber,Yes,1
19,69.78,0,Two year,Fiber,Yes,0
19,30.55,4,One year,DSL,Yes,1
36,85.68,1,Month-to-month,DSL,Yes,1
29,102.21,1,One year,DSL,No,0
60,58.04,1,Month-to-month,None,Yes,1
2,97.56,1,Month-to-month,Fiber,Yes,1
1,116.45,1,Month-to-month,DSL,Yes,1
47,40.38,1,Month-to-month,DSL,No,0
69,72.33,1,Month-to-month,Fiber,No,0
20,48.71,1,Two year,Fiber,Yes,0
11,99.29,1,Month-to-month,DSL,Yes,1
2,77.76,3,Two year,DSL,Yes,0
67,83.46,1,Month-to-month,Fiber,No,1
12,99.79,0,One year,DSL,No,0
20,59.6,0,Month-to-month,DSL,Yes,0
5,111.51,1,Month-to-month,None,No,1
37,73.3,1,Month-to-month,Fiber,Yes,0
38,35.8,0,Month-to-month,DSL,Yes,0
9,89.59,1,One year,DSL,Yes,0
53,99.33,1,Month-to-month,DSL,Yes,1
44,51.68,2,One year,DSL,Yes,0
24,105.72,1,Month-to-month,Fiber,Yes,1
30,110.61,2,Month-to-month,Fiber,Yes,1
59,47.69,2,Month-to-month,Fiber,Yes,0
14,118.35,0,Two year,None,Yes,0
9,34.07,3,One year,Fiber,Yes,1
40,40.2,2,Month-to-month,DSL,Yes,0
66,38.42,2,Month-to-month,Fiber,Yes,0
25,109.4,0,Month-to-month,None,Yes,1
22,85.43,0,Two year,Fiber,No,0
4,35.21,0,One year,DSL,No,0
26,64.03,1,Month-to-month,Fiber,No,0
58,81.53,1,Month-to-month,Fiber,Yes,1
29,28.35,1,Month-to-month,None,Yes,1
37,108.24,0,Two year,DSL,Yes,0
70,100.36,0,Month-to-month,Fiber,Yes,0
18,70.52,1,One year,Fiber,Yes,0
42,116.71,0,Month-to-month,Fiber,Yes,1
41,61.78,2,One year,Fiber,No,0
38,118.41,4,One year,DSL,Yes,0
34,86.79,0,One year,DSL,No,1
17,83.47,2,One year,DSL,No,0
37,36.6,4,Two year,None,Yes,0
25,108.19,0,Month-to-month,DSL,No,1
27,62.75,1,Month-to-month,Fiber,Yes,0
57,36.22,0,Month-to-month,Fiber,No,1
31,21.26,1,Two year,DSL,Yes,0
6,75.98,0,Month-to-month,Fiber,No,1
40,72.74,0,One year,Fiber,Yes,0
12,91.94,2,One year,Fiber,No,0
53,109.03,0,Month-to-month,Fiber,Yes,0
71,27.94,2,Month-to-month,Fiber,Yes,1
10,93.15,1,Month-to-month,DSL,No,1
45,38.74,3,Month-to-month,None,No,1
17,105.82,4,Month-to-month,DSL,Yes,1
26,101.91,0,Month-to-month,Fiber,Yes,1
62,74.08,2,Two year,DSL,Yes,0
46,91.02,0,Two year,None,No,0
64,51.44,1,Month-to-month,Fiber,No,1
2,67.12,1,Month-to-month,Fiber,No,1
54,102.16,1,Month-to-month,DSL,Yes,1
65,65.93,1,One year,Fiber,Yes,0
51,55.78,0,One year,Fiber,Yes,0
53,69.42,2,Month-to-month,Fiber,No,1
36,102.82,3,Month-to-month,DSL,Yes,0
26,53.52,2,One year,None,No,0
29,37.38,0,One year,Fiber,Yes,0
21,91.2,1,Month-to-month,DSL,Yes,0
11,102.6,0,One year,Fiber,Yes,0
40,30.06,1,Month-to-month,Fiber,Yes,1
11,43.99,1,Month-to-month,Fiber,Yes,1
36,34.2,3,One year,DSL,Yes,0
59,54.79,3,One year,Fiber,Yes,0
39,65.04,2,Month-to-month,Fiber,No,0
54,94.88,0,Two year,Fiber,Yes,1
55,85.11,1,Month-to-month,Fiber,Yes,0
24,82.09,1,One year,Fiber,Yes,0
22,55.24,2,Month-to-month,Fiber,Yes,1
69,104.14,3,Two year,DSL,No,1
56,67.13,1,Two year,Fiber,Yes,0
33,117.91,3,Month-to-month,Fiber,No,0
36,83.41,1,Two year,DSL,Yes,0
20,32.63,0,One year,DSL,Yes,0
62,87.62,2,One year,Fiber,Yes,0
26,52.51,1,Month-to-month,Fiber,Yes,1
66,88.63,2,One year,DSL,Yes,1
40,26.96,2,Two year,Fiber,No,1
17,37.49,3,Month-to-month,DSL,Yes,1
1,105.57,0,Two year,Fiber,Yes,1
61,42.72,3,Month-to-month,None,Yes,0
43,103.7,2,Month-to-month,Fiber,Yes,0
42,47.93,2,Month-to-month,DSL,Yes,1
25,84.29,3,Month-to-month,Fiber,Yes,1
39,89.42,0,One year,DSL,Yes,0
35,71.27,1,Month-to-month,Fiber,Yes,0
3,50.53,2,Two year,Fiber,Yes,1
44,41.26,0,Month-to-month,Fiber,No,1
51,23.32,2,Month-to-month,DSL,Yes,0
12,50.39,1,Month-to-month,None,Yes,0
19,85.32,1,Month-to-month,Fiber,No,1
44,113.83,2,Two year,DSL,Yes,0
59,107.12,0,One year,Fiber,Yes,0
49,96.61,1,One year,Fiber,Yes,0
61,98.84,0,Month-to-month,Fiber,Yes,1
17,86.5,2,Month-to-month,Fiber,Yes,1
57,46.03,2,Month-to-month,Fiber,No,0
55,110.72,2,Month-to-month,DSL,No,1
47,87.07,1,Month-to-month,Fiber,No,1
12,76.04,2,One year,Fiber,No,0
62,31.1,2,Month-to-month,DSL,Yes,0
8,64.71,2,One year,Fiber,Yes,1
21,66.04,0,Month-to-month,None,No,1
70,106.46,1,Month-to-month,None,No,1
25,74.66,0,One year,DSL,Yes,1
12,58.04,3,Month-to-month,DSL,No,0
15,117.68,0,Two year,Fiber,Yes,1
59,31.07,0,One year,DSL,Yes,1
26,62.25,2,Month-to-month,None,Yes,0
26,24.2,0,Two year,DSL,Yes,0
47,93.99,1,Month-to-month,DSL,Yes,0
32,111.81,1,Month-to-month,Fiber,Yes,1
10,48.0,1,One year,DSL,Yes,1
16,105.83,0,Month-to-month,Fiber,Yes,0
71,49.22,1,One year,Fiber,Yes,0
17,111.08,0,One year,DSL,No,0
23,95.4,0,Two year,DSL,Yes,0
26,100.49,0,Month-to-month,Fiber,Yes,1
7,21.8,2,Month-to-month,DSL,Yes,0
14,116.28,1,One year,Fiber,Yes,0
7,92.67,3,Month-to-month,Fiber,No,1
9,50.48,3,Month-to-month,Fiber,Yes,0
48,102.94,2,Month-to-month,None,No,0
59,48.15,3,Month-to-month,None,Yes,1
39,107.28,1,Month-to-month,None,Yes,1
18,31.26,0,Two year,DSL,Yes,1
59,90.37,1,Two year,DSL,Yes,0
17,74.07,1,Month-to-month,DSL,Yes,0
14,29.65,1,Month-to-month,Fiber,Yes,1
31,44.19,1,Month-to-month,None,Yes,1
24,21.24,0,Two year,Fiber,Yes,0
60,66.88,0,Month-to-month,DSL,No,0
45,50.13,0,One year,None,Yes,1
3,79.84,1,Month-to-month,Fiber,Yes,1
37,49.72,1,One year,DSL,Yes,0
43,49.99,3,Month-to-month,Fiber,Yes,0
40,94.32,0,One year,DSL,Yes,1
55,24.81,1,Month-to-month,Fiber,No,0
39,110.29,0,One year,DSL,No,0
15,105.23,0,Month-to-month,Fiber,Yes,1
4,86.78,1,One year,Fiber,Yes,0
25,79.32,1,Two year,Fiber,Yes,1
13,109.23,1,Month-to-month,Fiber,Yes,1
33,38.53,0,Two year,Fiber,Yes,1
16,27.9,1,Month-to-month,Fiber,Yes,0
42,43.95,2,Month-to-month,None,Yes,0
66,99.46,1,Month-to-month,DSL,Yes,1
55,23.47,1,Month-to-month,Fiber,Yes,1
42,78.28,1,One year,DSL,Yes,0
34,119.54,4,One year,DSL,Yes,0
30,105.57,1,Month-to-month,Fiber,Yes,0
13,72.14,0,Month-to-month,Fiber,No,0
13,26.36,0,One year,DSL,Yes,0
18,103.14,1,Two year,Fiber,No,1
32,79.9,1,Month-to-month,Fiber,Yes,1
39,31.49,1,Two year,None,Yes,0
46,29.39,1,Month-to-month,DSL,Yes,1
29,110.96,3,Month-to-month,None,Yes,1
62,86.92,1,One year,DSL,No,0
62,102.93,1,Month-to-month,Fiber,Yes,1
57,107.9,0,Month-to-month,DSL,Yes,0
16,77.18,0,Month-to-month,DSL,Yes,1
56,71.74,3,One year,Fiber,No,0
10,63.04,0,One year,Fiber,Yes,0
30,51.69,2,Month-to-month,DSL,No,0
25,63.46,1,Month-to-month,DSL,No,1
5,97.39,2,Month-to-month,Fiber,Yes,1
65,80.19,1,Month-to-month,DSL,No,1
49,109.25,0,Month-to-month,Fiber,No,1
3,64.34,0,One year,DSL,Yes,0
45,80.71,5,Month-to-month,DSL,Yes,1
14,83.13,1,Month-to-month,DSL,Yes,1
30,79.17,1,Month-to-month,Fiber,Yes,0
68,90.26,0,Month-to-month,DSL,Yes,0
18,43.74,2,Two year,DSL,Yes,0
